COUNTRY_ID,country_name,district_name,GAUL_CODE,total_population_2016,coverage_untargeted_biased_2016,coverage_untargeted_unbiased_2016,coverage_targeted_2016,number_to_vaccinate_untargeted_biased_2016,number_to_vaccinate_untargeted_unbiased_2016,number_to_vaccinate_targeted_2016,coverage_untargeted_biased_1970,coverage_untargeted_biased_1980,coverage_untargeted_biased_1990,coverage_untargeted_biased_2000,coverage_untargeted_biased_2010,coverage_untargeted_unbiased_1970,coverage_untargeted_unbiased_1980,coverage_untargeted_unbiased_1990,coverage_untargeted_unbiased_2000,coverage_untargeted_unbiased_2010,coverage_targeted_1970,coverage_targeted_1980,coverage_targeted_1990,coverage_targeted_2000,coverage_targeted_2010
AGO,Angola,Chipindo,4279,48678.28909,0.674280323,0.77834194,0.876367058,6120,1054,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Gambos,4280,73084.03018,0.674280323,0.77834194,0.876367058,9188,1583,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Humpata,4281,26561.07774,0.674280323,0.77834194,0.876367058,3339,575,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Jamba,4282,72875.40635,0.674280323,0.77834194,0.876367058,9162,1578,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Kuvango,4283,82373.15069,0.674280323,0.77834194,0.876367058,10356,1784,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Lubango,4284,524380.7317,0.674280323,0.77834194,0.876367058,65925,11357,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Matala,4285,201922.8106,0.674280323,0.77834194,0.876367058,25386,4373,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Quilengues,4286,163791.9096,0.674280323,0.77834194,0.876367058,20592,3547,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Quipungo,4287,117196.636,0.674280323,0.77834194,0.876367058,14734,2538,0,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Ambaca,4288,53970.96565,0.360210242,0.360210242,0.360210242,23736,23736,23736,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Banga,4289,6785.982841,0.360210242,0.360210242,0.360210242,2984,2984,2984,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Bolongongo,4290,16758.56483,0.360210242,0.360210242,0.360210242,7370,7370,7370,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Cambambe,4291,40641.13587,0.360210242,0.360210242,0.360210242,17874,17874,17874,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
AGO,Angola,Cazengo (ndalatando),4292,117742.1291,0.360210242,0.360210242,0.360210242,51782,51782,51782,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261,0,0,0,0.113731022,0.264333261
