location_id,year_id,GBD_mean,JRF_admin,bias_term
BEL,2002,0.95447373,0.95,1.004709189
BEL,2003,0.96046567,0.95,1.011016495
BEL,2004,0.9657371,0.95,1.016565368
BEL,2005,0.97036064,0.97,1.000371794
BEL,2006,0.97421265,0.98,0.994094541
BEL,2007,0.97734004,0.98,0.997285755
BEL,2008,0.97991824,0.99,0.989816404
BEL,2009,0.98189914,0.98,1.001937898
BEL,2010,0.98359805,0.98,1.00367148
BEL,2011,0.98487085,0.98,1.004970255
BEL,2012,0.98585808,0.99,0.995816242
BEL,2013,0.98665333,0.99,0.996619525
BEL,2014,0.98729265,0.99,0.997265303
BEL,2015,0.98779845,0.99,0.997776212
BEN,1980,0.44925678,NA,NA
BEN,1981,0.45856592,NA,NA
BEN,1982,0.4682799,NA,NA
BEN,1983,0.47804102,NA,NA
BEN,1984,0.48809966,NA,NA
BEN,1985,0.49825308,0.17,2.930900471
BEN,1986,0.51647007,0.17,3.038059235
BEN,1987,0.54145741,0.25,2.16582964
BEN,1988,0.57073712,0.3,1.902457067
BEN,1989,0.60249865,0.48,1.255205521
BEN,1990,0.6339857,0.78,0.812802179
BEN,1991,0.65702403,0.68,0.966211809
BEN,1992,0.67775947,0.79,0.85792338
BEN,1993,0.69467598,0.77,0.902176597
BEN,1994,0.70817065,0.86,0.823454244
BEN,1995,0.7130785,0.89,0.801211798
BEN,1996,0.71364886,0.8,0.892061075
BEN,1997,0.71350801,0.78,0.914753859
BEN,1998,0.71328837,0.81,0.880602926
BEN,1999,0.71340895,0.9,0.792676611
BEN,2000,0.71178848,0.88,0.808850545
BEN,2001,0.70868051,0.84,0.843667274
BEN,2002,0.70708656,0.93,0.760308129
BEN,2003,0.70624816,0.88,0.802554727
BEN,2004,0.70839179,0.83,0.853484084
BEN,2005,0.71309197,0.93,0.766765559
BEN,2006,0.71976405,0.93,0.773939839
BEN,2007,0.72684497,0.97,0.749324711
BEN,2008,0.73257256,0.93,0.78771243
BEN,2009,0.74025506,0.98,0.755362306
BEN,2010,0.74806035,0.98,0.763326888
BEN,2011,0.75654733,0.99,0.764189222
BEN,2012,0.76469684,0.85,0.899643341
BEN,2013,0.7705918,0.93,0.828593333
BEN,2014,0.77750063,0.9,0.863889589
BEN,2015,0.78497219,0.82,0.957283159
BFA,1980,0.32291701,NA,NA
BFA,1981,0.32431674,0.02,16.215837
BFA,1982,0.33934519,NA,NA
BFA,1983,0.35266495,NA,NA
BFA,1984,0.3642512,NA,NA
BFA,1985,0.37444055,NA,NA
BFA,1986,0.38262048,0.34,1.125354353
BFA,1987,0.39045402,0.34,1.148394176
BFA,1988,0.39813912,0.23,1.731039652
BFA,1989,0.40719554,NA,NA
BFA,1990,0.41190818,NA,NA
BFA,1991,0.41358396,NA,NA
BFA,1992,0.4136762,0.39,1.060708205
BFA,1993,0.41683137,0.47,0.886875255
BFA,1994,0.42193708,0.41,1.029114829
BFA,1995,0.43129191,0.47,0.917642362
BFA,1996,0.44704184,0.48,0.931337167
BFA,1997,0.47052723,0.7,0.672181757
BFA,1998,0.50772339,0.4,1.269308475
BFA,1999,0.5587908,0.34,1.643502353
BFA,2000,0.61641139,0.57,1.081423491
BFA,2001,0.67459249,0.68,0.992047779
BFA,2002,0.72732991,0.69,1.054101319
BFA,2003,0.7741521,0.84,0.921609643
BFA,2004,0.81217015,0.88,0.922920625
BFA,2005,0.84298086,0.96,0.878105063
BFA,2006,0.86734575,0.95,0.912995526
BFA,2007,0.88696563,0.99,0.895924879
BFA,2008,0.90215594,0.99,0.911268626
BFA,2009,0.9130801,0.99,0.922303131
BFA,2010,0.92164564,0.91,1.012797407
BFA,2011,0.92805558,0.91,1.019841297
BFA,2012,0.93273276,0.9,1.036369733
BFA,2013,0.93594581,0.88,1.063574784
BFA,2014,0.93785197,0.91,1.03060656
BFA,2015,0.93855029,0.91,1.031373945
BGD,1980,0.37322947,NA,NA
BGD,1981,0.37965485,0.01,37.965485
BGD,1982,0.39444566,0.01,39.444566
BGD,1983,0.41676846,0.01,41.676846
BGD,1984,0.44609678,0.01,44.609678
BGD,1985,0.48173457,0.02,24.0867285
BGD,1986,0.5213728,0.04,13.03432
BGD,1987,0.5626356,0.09,6.251506667
BGD,1988,0.60286438,0.16,3.767902375
BGD,1989,0.64020628,0.49,1.306543429
BGD,1990,0.67134833,0.69,0.972968594
BGD,1991,0.69495893,0.87,0.798803368
BGD,1992,0.71054852,0.98,0.72504951
BGD,1993,0.71820056,0.9,0.798000622
BGD,1994,0.72192335,0.94,0.768003564
BGD,1995,0.72241336,0.91,0.793860835
BGD,1996,0.72642255,0.97,0.748889227
BGD,1997,0.73360586,0.98,0.748577408
BGD,1998,0.74264622,0.78,0.952110538
BGD,1999,0.76043421,0.66,1.152173045
BGD,2000,0.78490657,0.68,1.154274368
BGD,2001,0.80995047,0.65,1.246077646
BGD,2002,0.83300513,0.69,1.207253812
BGD,2003,0.85537225,0.72,1.188017014
BGD,2004,0.87712717,0.96,0.913674135
BGD,2005,0.89761239,0.78,1.150785115
BGD,2006,0.91614252,0.84,1.090645857
BGD,2007,0.93129992,0.87,1.070459678
BGD,2008,0.94192898,0.87,1.082676989
BGD,2009,0.94861645,0.87,1.090363736
BGD,2010,0.95273054,0.89,1.070483753
BGD,2011,0.95565552,0.9,1.061839467
BGD,2012,0.95775622,0.9,1.064173578
BGD,2013,0.95915902,0.92,1.042564152
BGD,2014,0.95995396,0.93,1.032208559
BGD,2015,0.96020871,0.93,1.032482484
BGR,1980,0.98216003,0.98,1.002204112
BGR,1981,0.98293519,0.99,0.992863828
BGR,1982,0.98346794,0.99,0.99340196
BGR,1983,0.98378593,0.99,0.993723162
BGR,1984,0.98390704,0.99,0.993845495
